architecture,configuration,paper_train_accuracy,paper_private_logloss,reproduction_public,reproduction_private,ten_epoch_public,ten_epoch_private
VGG16,S1,99.98,0.0401,0.05234,0.05337,0.03516,0.04423
VGG16,S2,99.94,0.0547,0.05314,0.05046,0.04724,0.04627
VGG16,S3,99.94,0.0411,0.03540,0.04365,0.03816,0.04489
VGG16,S4 (.text + .rdata + .rsrc),99.95,0.0577,0.09152,0.09226,0.08238,0.08861
VGG16,S5 (imgs-1024 + .text + .rsrc),99.99,0.0521,0.06101,0.05709,0.05714,0.05128
VGG16,S5 (.text + .rdata + .rsrc),99.84,0.0889,0.22894,0.21883,0.12396,0.12295
ResNet50,S1,100.00,0.0316,0.03477,0.03601,0.03310,0.03735
ResNet50,S2,100.00,0.0330,0.03332,0.03916,0.03646,0.04641
ResNet50,S3,100.00,0.0265,0.03279,0.03446,0.02722,0.03800
ResNet50,S4 (.rdata + .data + .rsrc),99.30,0.0587,0.10914,0.08559,0.10909,0.08747
ResNet50,S4 (.text + .data + .rsrc),99.99,0.0383,0.08761,0.08244,0.09386,0.08761
ResNet50,S4 (.text + .rdata + .data),99.93,0.0452,0.11796,0.09371,0.12306,0.09793
ResNet50,S4 (.text + .rdata + .data + .rsrc),99.91,0.0364,0.09528,0.08388,0.09141,0.07185
ResNet50,S4 (.text + .rdata + .rsrc),99.97,0.0320,0.10825,0.08410,0.09633,0.08297
ResNet50,S5 (imgs-1024 + .text + .data),99.98,0.0286,0.02341,0.03650,0.03819,0.04478
ResNet50,S5 (imgs-1024 + .text + .rdata),100.00,0.0292,0.02683,0.03185,0.03756,0.04019
ResNet50,S5 (imgs-1024 + .text + .rdata + .data + .rsrc),99.97,0.0385,0.04285,0.04764,0.04258,0.05745
ResNet50,S5 (imgs-1024 + .text + .rsrc),99.98,0.0279,0.03432,0.03660,0.03485,0.03786
ResNet50,S5 (.text + .rdata + .data + .rsrc),99.93,0.0505,0.10811,0.10746,0.18355,0.15599
ResNet50,S5 (.text + .rdata + .rsrc),99.95,0.0446,0.11357,0.11978,0.13806,0.11584
